번호,사업장명,구,지번주소,좌표정보(X),좌표정보(Y)
1284,팀불독짐 2호점,구로구,서울특별시 구로구 구로동 182 13번지 대륭포스트타워2차 B132호,190845.231594802--,442639.420821243--
1285,Class Women,구로구,서울특별시 구로구 구로동 222 12번지 마리오타워 305호,190671.436719919--,442219.137493629--
1286,스포애니 가산디지털단지역점,금천구,서울특별시 금천구 가산동 60 15번지 삼성리더스타워 ,189685.516219475--,442026.468974479--
1287,제이주드,서초구,서울특별시 서초구 방배로 119 지하1층 (방배동),199509.901629527--,442495.949502065--
1288,AMG휘트니스,금천구,서울특별시 금천구 가산동 550 1번지 IT캐슬 ,189369.53962474-- ,441629.361414684--
1289,프로바디핏,금천구,서울특별시 금천구 시흥동 830 22번지 ,191970.182049624--,438773.647952075--
1290,지7 워크아웃(휘트니스),금천구,서울특별시 금천구 시흥동 1031번지 ,-,-
1291,피티플레이스,금천구,서울특별시 금천구 가산동 50 3번지 대륭포스트타워6차 ,189662.959175776--,442139.514492212--
1292,주식회사 인스타짐 독산역점,금천구,서울특별시 금천구 가산동 685번지 디지털엠파이어빌딩 1501호,189978.050925581--,440363.954453659--
1293,프라임짐,영등포구,서울특별시 영등포구 당산동5가 42 당산 삼성 래미안,191362.376780507,447750.192654125
1294,애니데이 피트니스(독산점),금천구,서울특별시 금천구 독산동 1095번지 ,190140.258408311--,439271.814994838--
1295,웰메이드피티샵,금천구,서울특별시 금천구 가산동 345 33번지 ,189417.678263584--,441342.660096623--
1296,day one fitness,금천구,서울특별시 금천구 시흥동 892 58번지 ,191415.450200875--,438848.895615921--
1297,제이미 피티 스튜디오,금천구,서울특별시 금천구 시흥동 870 10번지 ,191075.857097963--,439485.637630184--
1298,S&T sports,금천구,서울특별시 금천구 시흥동 990 65번지 경일경영정보고등학교 ,191114.216131684--,438658.789041117--
1299,우리스포렉스,금천구,서울특별시 금천구 독산동 1023 1번지 ,191227.422279603--,440607.715344151--
1300,우림휘트니스클럽,금천구,서울특별시 금천구 가산동 371 28번지 우림라이온스밸리 A동 402호,189538.020935968--,441982.427934953--
1301,와우휘트니스,금천구,서울특별시 금천구 가산동 459 11번지 제이플라츠 A동 308호,189452.382474246--,442205.867457803--
1302,팀키스짐,금천구,서울특별시 금천구 시흥동 831 6번지 (주)남성프라자 ,191823.026849977--,438834.378061101--
1303,주) 인스타짐,금천구,서울특별시 금천구 가산동 459 11번지 제이플라츠 ,189452.382474246--,442205.867457803--
1304,남진헬스,금천구,서울특별시 금천구 시흥동 954 21번지 ,191428.591745491--,437689.38449215-- 
